Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
CIAPIN1,NA/N,NA/N,NA/N,NA/N
BBS9,NA/N,NA/N,NA/N,NA/N
RAB3IP,NA/N,NA/N,NA/N,NA/N
BBS7,NA/N,NA/N,NA/N,NA/N
DPP3,NA/N,NA/N,NA/N,NA/N
BBS12,NA/N,NA/N,NA/N,NA/N
MKKS,NA/N,NA/N,NA/N,NA/N
MDFI,NA/N,NA/N,NA/N,NA/N
BBS10,NA/N,NA/N,NA/N,NA/N
PMS1,NA/N,NA/N,NA/N,NA/N
PWP2,NA/N,NA/N,NA/N,NA/N
TASOR,NA/N,NA/N,NA/N,NA/N
INTS6,NA/N,NA/N,NA/N,NA/N
ZNF655,NA/N,NA/N,NA/N,NA/N
WIPI2,NA/N,NA/N,NA/N,NA/N
KANK2,NA/N,NA/N,NA/N,NA/N
MTO1,NA/N,NA/N,NA/N,NA/N
MIOS,NA/N,NA/N,NA/N,NA/N
SIMC1,NA/N,NA/N,NA/N,NA/N
CNKSR3,NA/N,NA/N,NA/N,NA/N
RFWD3,NA/N,NA/N,NA/N,NA/N
CAMSAP3,NA/N,NA/N,NA/N,NA/N
CEP164,NA/N,NA/N,NA/N,NA/N
LAMB1,NA/N,NA/N,NA/N,NA/N
LAMA4,NA/N,NA/N,NA/N,NA/N
BCAN,NA/N,NA/N,NA/N,NA/N
MMP1,NA/N,NA/N,NA/N,NA/N
VCAN,NA/N,NA/N,NA/N,NA/N
ULK3,NA/N,NA/N,NA/N,NA/N
CCNYL1,NA/N,NA/N,NA/N,NA/N
BCAP29,NA/N,NA/N,NA/N,NA/N
TRAM1,NA/N,NA/N,NA/N,NA/N
LMAN1,NA/N,NA/N,NA/N,NA/N
KTN1,NA/N,NA/N,NA/N,NA/N
SYNE2,NA/N,NA/N,NA/N,NA/N
RAB7A,NA/N,NA/N,NA/N,NA/N
BCAR1,NA/N,NA/N,NA/N,NA/N
FES,NA/N,NA/N,NA/N,NA/N
PTPN12,NA/N,NA/N,NA/N,NA/N
RAPGEF1,NA/N,NA/N,NA/N,NA/N
DOCK1,NA/N,NA/N,NA/N,NA/N
PTPRH,NA/N,NA/N,NA/N,NA/N
SH2D3C,NA/N,NA/N,NA/N,NA/N
GMPR2,NA/N,NA/N,NA/N,NA/N
RPL26,NA/N,NA/N,NA/N,NA/N
HBD,NA/N,NA/N,NA/N,NA/N
P4HA2,NA/N,NA/N,NA/N,NA/N
GAK,NA/N,NA/N,NA/N,NA/N
BCAR3,NA/N,NA/N,NA/N,NA/N
TARS,NA/N,NA/N,NA/N,NA/N
FUS,NA/N,NA/N,NA/N,NA/N
DEFA5,NA/N,NA/N,NA/N,NA/N
GAST,NA/N,NA/N,NA/N,NA/N
BCAS1,NA/N,NA/N,NA/N,NA/N
BCAS2,NA/N,NA/N,NA/N,NA/N
ESR2,NA/N,NA/N,NA/N,NA/N
CWC15,NA/N,NA/N,NA/N,NA/N
CTNNBL1,NA/N,NA/N,NA/N,NA/N
RBM22,NA/N,NA/N,NA/N,NA/N
TFIP11,NA/N,NA/N,NA/N,NA/N
BCAS3,NA/N,NA/N,NA/N,NA/N
BCAS4,NA/N,NA/N,NA/N,NA/N
SNAPIN,NA/N,NA/N,NA/N,NA/N
ATG4A,NA/N,NA/N,NA/N,NA/N
BORCS5,NA/N,NA/N,NA/N,NA/N
BLOC1S3,NA/N,NA/N,NA/N,NA/N
BLOC1S2,NA/N,NA/N,NA/N,NA/N
BLOC1S5,NA/N,NA/N,NA/N,NA/N
BLOC1S1,NA/N,NA/N,NA/N,NA/N
BCAT1,NA/N,NA/N,NA/N,NA/N
PPP2R5D,NA/N,NA/N,NA/N,NA/N
TRIP12,NA/N,NA/N,NA/N,NA/N
FLYWCH2,NA/N,NA/N,NA/N,NA/N
YEATS2,NA/N,NA/N,NA/N,NA/N
BCAT2,NA/N,NA/N,NA/N,NA/N
BCCIP,NA/N,NA/N,NA/N,NA/N
TENT2,NA/N,NA/N,NA/N,NA/N
BCHE,NA/N,NA/N,NA/N,NA/N
NOP10,NA/N,NA/N,NA/N,NA/N
DIAPH3,NA/N,NA/N,NA/N,NA/N
SHTN1,NA/N,NA/N,NA/N,NA/N
DKC1,NA/N,NA/N,NA/N,NA/N
LTBP1,NA/N,NA/N,NA/N,NA/N
ENTPD5,NA/N,NA/N,NA/N,NA/N
PALLD,NA/N,NA/N,NA/N,NA/N
NAF1,NA/N,NA/N,NA/N,NA/N
BCKDHA,NA/N,NA/N,NA/N,NA/N
BCKDHB,NA/N,NA/N,NA/N,NA/N
BCKDK,NA/N,NA/N,NA/N,NA/N
CAB39,NA/N,NA/N,NA/N,NA/N
CAB39L,NA/N,NA/N,NA/N,NA/N
FAM98B,NA/N,NA/N,NA/N,NA/N
LGALS3BP,NA/N,NA/N,NA/N,NA/N
BCL10,NA/N,NA/N,NA/N,NA/N
KRT33B,NA/N,NA/N,NA/N,NA/N
BCL11A,NA/N,NA/N,NA/N,NA/N
BCL11B,NA/N,NA/N,NA/N,NA/N
MBD3,NA/N,NA/N,NA/N,NA/N
MCL1,NA/N,NA/N,NA/N,NA/N
CDK1,NA/N,NA/N,NA/N,NA/N
BMF,NA/N,NA/N,NA/N,NA/N
BCL2L12,NA/N,NA/N,NA/N,NA/N
DNM1L,NA/N,NA/N,NA/N,NA/N
TP53BP2,NA/N,NA/N,NA/N,NA/N
BCL2L10,NA/N,NA/N,NA/N,NA/N
RHPN2,NA/N,NA/N,NA/N,NA/N
MTHFR,NA/N,NA/N,NA/N,NA/N
ATP2A3,NA/N,NA/N,NA/N,NA/N
AMY2A,NA/N,NA/N,NA/N,NA/N
BCL2L13,NA/N,NA/N,NA/N,NA/N
BCL2L14,NA/N,NA/N,NA/N,NA/N
TRAPPC6B,NA/N,NA/N,NA/N,NA/N
MAP11,NA/N,NA/N,NA/N,NA/N
TRAPPC2L,NA/N,NA/N,NA/N,NA/N
TRAPPC4,NA/N,NA/N,NA/N,NA/N
TRAPPC10,NA/N,NA/N,NA/N,NA/N
TRAPPC1,NA/N,NA/N,NA/N,NA/N
TRAPPC5,NA/N,NA/N,NA/N,NA/N
TRAPPC3,NA/N,NA/N,NA/N,NA/N
BCL2L15,NA/N,NA/N,NA/N,NA/N
HRK,NA/N,NA/N,NA/N,NA/N
BIK,NA/N,NA/N,NA/N,NA/N
PMAIP1,NA/N,NA/N,NA/N,NA/N
RELB,NA/N,NA/N,NA/N,NA/N
PIR,NA/N,NA/N,NA/N,NA/N
CTBP2,NA/N,NA/N,NA/N,NA/N
BCL6,NA/N,NA/N,NA/N,NA/N
TRIB3,NA/N,NA/N,NA/N,NA/N
MTA3,NA/N,NA/N,NA/N,NA/N
BCL6B,NA/N,NA/N,NA/N,NA/N
SULT4A1,NA/N,NA/N,NA/N,NA/N
BICRA,NA/N,NA/N,NA/N,NA/N
BRD7,NA/N,NA/N,NA/N,NA/N
SPIRE1,NA/N,NA/N,NA/N,NA/N
SPIRE2,NA/N,NA/N,NA/N,NA/N
MRTFA,NA/N,NA/N,NA/N,NA/N
MRTFB,NA/N,NA/N,NA/N,NA/N
BICRAL,NA/N,NA/N,NA/N,NA/N
EMC8,NA/N,NA/N,NA/N,NA/N
PHACTR4,NA/N,NA/N,NA/N,NA/N
BRD9,NA/N,NA/N,NA/N,NA/N
PHACTR2,NA/N,NA/N,NA/N,NA/N
STK11IP,NA/N,NA/N,NA/N,NA/N
INTS14,NA/N,NA/N,NA/N,NA/N
BCL9,NA/N,NA/N,NA/N,NA/N
LHX4,NA/N,NA/N,NA/N,NA/N
BCL9L,NA/N,NA/N,NA/N,NA/N
BCLAF1,NA/N,NA/N,NA/N,NA/N
THRAP3,NA/N,NA/N,NA/N,NA/N
DDX39B,NA/N,NA/N,NA/N,NA/N
FMR1,NA/N,NA/N,NA/N,NA/N
BCO1,NA/N,NA/N,NA/N,NA/N
KDM2B,NA/N,NA/N,NA/N,NA/N
RNF2,NA/N,NA/N,NA/N,NA/N
PCGF1,NA/N,NA/N,NA/N,NA/N
PCGF5,NA/N,NA/N,NA/N,NA/N
ERCC3,NA/N,NA/N,NA/N,NA/N
PIK3CG,NA/N,NA/N,NA/N,NA/N
KIT,NA/N,NA/N,NA/N,NA/N
SH2D5,NA/N,NA/N,NA/N,NA/N
BCS1L,NA/N,NA/N,NA/N,NA/N
BDKRB2,NA/N,NA/N,NA/N,NA/N
BDNF,NA/N,NA/N,NA/N,NA/N
ZWINT,NA/N,NA/N,NA/N,NA/N
SH3GLB1,NA/N,NA/N,NA/N,NA/N
RUBCNL,NA/N,NA/N,NA/N,NA/N
RUBCN,NA/N,NA/N,NA/N,NA/N
MAP2K3,NA/N,NA/N,NA/N,NA/N
WDR91,NA/N,NA/N,NA/N,NA/N
WDR81,NA/N,NA/N,NA/N,NA/N
HTT,NA/N,NA/N,NA/N,NA/N
SGF29,NA/N,NA/N,NA/N,NA/N
BECN2,NA/N,NA/N,NA/N,NA/N
BEGAIN,NA/N,NA/N,NA/N,NA/N
DLG4,NA/N,NA/N,NA/N,NA/N
BEND7,NA/N,NA/N,NA/N,NA/N
LRP4,NA/N,NA/N,NA/N,NA/N
BEST1,NA/N,NA/N,NA/N,NA/N
USHBP1,NA/N,NA/N,NA/N,NA/N
VTI1A,NA/N,NA/N,NA/N,NA/N
GOSR2,NA/N,NA/N,NA/N,NA/N
SCFD1,NA/N,NA/N,NA/N,NA/N
NAPG,NA/N,NA/N,NA/N,NA/N
CUX1,NA/N,NA/N,NA/N,NA/N
VAMP8,NA/N,NA/N,NA/N,NA/N
BET1L,NA/N,NA/N,NA/N,NA/N
BEX1,NA/N,NA/N,NA/N,NA/N
OMP,NA/N,NA/N,NA/N,NA/N
BEX2,NA/N,NA/N,NA/N,NA/N
LMO2,NA/N,NA/N,NA/N,NA/N
BEX3,NA/N,NA/N,NA/N,NA/N
NTRK3,NA/N,NA/N,NA/N,NA/N
VTA1,NA/N,NA/N,NA/N,NA/N
BFSP1,NA/N,NA/N,NA/N,NA/N
BFSP2,NA/N,NA/N,NA/N,NA/N
SPAG5,NA/N,NA/N,NA/N,NA/N
CENPE,NA/N,NA/N,NA/N,NA/N
MAX,NA/N,NA/N,NA/N,NA/N
CDR2L,NA/N,NA/N,NA/N,NA/N
SCOC,NA/N,NA/N,NA/N,NA/N
BGN,NA/N,NA/N,NA/N,NA/N
MFAP2,NA/N,NA/N,NA/N,NA/N
JPH3,NA/N,NA/N,NA/N,NA/N
BHLHA15,NA/N,NA/N,NA/N,NA/N
FAF1,NA/N,NA/N,NA/N,NA/N
DHX57,NA/N,NA/N,NA/N,NA/N
RPL26L1,NA/N,NA/N,NA/N,NA/N
NOP16,NA/N,NA/N,NA/N,NA/N
LSM14B,NA/N,NA/N,NA/N,NA/N
RBM23,NA/N,NA/N,NA/N,NA/N
PRDM10,NA/N,NA/N,NA/N,NA/N
HIST1H1T,NA/N,NA/N,NA/N,NA/N
RPLP0,NA/N,NA/N,NA/N,NA/N
RPL36AL,NA/N,NA/N,NA/N,NA/N
RPS15,NA/N,NA/N,NA/N,NA/N
RPS16,NA/N,NA/N,NA/N,NA/N
RPS27A,NA/N,NA/N,NA/N,NA/N
SUPV3L1,NA/N,NA/N,NA/N,NA/N
BHLHE40,NA/N,NA/N,NA/N,NA/N
BHLHE41,NA/N,NA/N,NA/N,NA/N
BHMT,NA/N,NA/N,NA/N,NA/N
MTMR6,NA/N,NA/N,NA/N,NA/N
BHMT2,NA/N,NA/N,NA/N,NA/N
TBCE,NA/N,NA/N,NA/N,NA/N
BICD1,NA/N,NA/N,NA/N,NA/N
RAB6A,NA/N,NA/N,NA/N,NA/N
DYNC1I1,NA/N,NA/N,NA/N,NA/N
BICD2,NA/N,NA/N,NA/N,NA/N
MFAP1,NA/N,NA/N,NA/N,NA/N
RGPD1,NA/N,NA/N,NA/N,NA/N
NFYC,NA/N,NA/N,NA/N,NA/N
FADD,NA/N,NA/N,NA/N,NA/N
FASLG,NA/N,NA/N,NA/N,NA/N
DLGAP4,NA/N,NA/N,NA/N,NA/N
FBP1,NA/N,NA/N,NA/N,NA/N
SYNJ2,NA/N,NA/N,NA/N,NA/N
CLIP1,NA/N,NA/N,NA/N,NA/N
PKM,NA/N,NA/N,NA/N,NA/N
BIN2,NA/N,NA/N,NA/N,NA/N
SNX5,NA/N,NA/N,NA/N,NA/N
TRAF1,NA/N,NA/N,NA/N,NA/N
LTBR,NA/N,NA/N,NA/N,NA/N
UBE2J1,NA/N,NA/N,NA/N,NA/N
CASP9,NA/N,NA/N,NA/N,NA/N
GSPT1,NA/N,NA/N,NA/N,NA/N
UBE2D3,NA/N,NA/N,NA/N,NA/N
RNF31,NA/N,NA/N,NA/N,NA/N
OTUB1,NA/N,NA/N,NA/N,NA/N
WDYHV1,NA/N,NA/N,NA/N,NA/N
C19orf44,NA/N,NA/N,NA/N,NA/N
GAP43,NA/N,NA/N,NA/N,NA/N
CSTF2T,NA/N,NA/N,NA/N,NA/N
BIRC3,NA/N,NA/N,NA/N,NA/N
RIPK2,NA/N,NA/N,NA/N,NA/N
CASP7,NA/N,NA/N,NA/N,NA/N
MED20,NA/N,NA/N,NA/N,NA/N
MED21,NA/N,NA/N,NA/N,NA/N
MED17,NA/N,NA/N,NA/N,NA/N
MED6,NA/N,NA/N,NA/N,NA/N
MED30,NA/N,NA/N,NA/N,NA/N
MED31,NA/N,NA/N,NA/N,NA/N
CCDC102A,NA/N,NA/N,NA/N,NA/N
LAMTOR4,NA/N,NA/N,NA/N,NA/N
MED29,NA/N,NA/N,NA/N,NA/N
MED18,NA/N,NA/N,NA/N,NA/N
MED8,NA/N,NA/N,NA/N,NA/N
HBZ,NA/N,NA/N,NA/N,NA/N
MED22,NA/N,NA/N,NA/N,NA/N
MED10,NA/N,NA/N,NA/N,NA/N
DIABLO,NA/N,NA/N,NA/N,NA/N
HTRA2,NA/N,NA/N,NA/N,NA/N
BIRC7,NA/N,NA/N,NA/N,NA/N
XAF1,NA/N,NA/N,NA/N,NA/N
CLCN7,NA/N,NA/N,NA/N,NA/N
PCNT,NA/N,NA/N,NA/N,NA/N
ZC3H7A,NA/N,NA/N,NA/N,NA/N
OSTM1,NA/N,NA/N,NA/N,NA/N
NFKBIB,NA/N,NA/N,NA/N,NA/N
BIRC8,NA/N,NA/N,NA/N,NA/N
GLUD1,NA/N,NA/N,NA/N,NA/N
BLK,NA/N,NA/N,NA/N,NA/N
ANKRD54,NA/N,NA/N,NA/N,NA/N
EXO1,NA/N,NA/N,NA/N,NA/N
RPA3,NA/N,NA/N,NA/N,NA/N
RMI2,NA/N,NA/N,NA/N,NA/N
AIPL1,NA/N,NA/N,NA/N,NA/N
FBXW7,NA/N,NA/N,NA/N,NA/N
SPIDR,NA/N,NA/N,NA/N,NA/N
BLMH,NA/N,NA/N,NA/N,NA/N
RPL29,NA/N,NA/N,NA/N,NA/N
BLNK,NA/N,NA/N,NA/N,NA/N
CD72,NA/N,NA/N,NA/N,NA/N
SYK,NA/N,NA/N,NA/N,NA/N
PLCG2,NA/N,NA/N,NA/N,NA/N
CD79A,NA/N,NA/N,NA/N,NA/N
BLOC1S4,NA/N,NA/N,NA/N,NA/N
DTNBP1,NA/N,NA/N,NA/N,NA/N
STX12,NA/N,NA/N,NA/N,NA/N
BLVRA,NA/N,NA/N,NA/N,NA/N
TBX20,NA/N,NA/N,NA/N,NA/N
RRAGB,NA/N,NA/N,NA/N,NA/N
TLN1,NA/N,NA/N,NA/N,NA/N
DNASE1L2,NA/N,NA/N,NA/N,NA/N
BLZF1,NA/N,NA/N,NA/N,NA/N
GORASP2,NA/N,NA/N,NA/N,NA/N
BMI1,NA/N,NA/N,NA/N,NA/N
CBX7,NA/N,NA/N,NA/N,NA/N
PHC3,NA/N,NA/N,NA/N,NA/N
CBX2,NA/N,NA/N,NA/N,NA/N
PCGF3,NA/N,NA/N,NA/N,NA/N
HIST1H2BB,NA/N,NA/N,NA/N,NA/N
NCOA5,NA/N,NA/N,NA/N,NA/N
ILF2,NA/N,NA/N,NA/N,NA/N
ILF3,NA/N,NA/N,NA/N,NA/N
NUFIP2,NA/N,NA/N,NA/N,NA/N
NCBP1,NA/N,NA/N,NA/N,NA/N
CAPRIN1,NA/N,NA/N,NA/N,NA/N
PHGDH,NA/N,NA/N,NA/N,NA/N
GIGYF2,NA/N,NA/N,NA/N,NA/N
CHTOP,NA/N,NA/N,NA/N,NA/N
SNU13,NA/N,NA/N,NA/N,NA/N
PURB,NA/N,NA/N,NA/N,NA/N
PURA,NA/N,NA/N,NA/N,NA/N
STAU2,NA/N,NA/N,NA/N,NA/N
PTBP1,NA/N,NA/N,NA/N,NA/N
G3BP1,NA/N,NA/N,NA/N,NA/N
SAP18,NA/N,NA/N,NA/N,NA/N
RBM14,NA/N,NA/N,NA/N,NA/N
KHDRBS1,NA/N,NA/N,NA/N,NA/N
KHDRBS3,NA/N,NA/N,NA/N,NA/N
RNPS1,NA/N,NA/N,NA/N,NA/N
SSB,NA/N,NA/N,NA/N,NA/N
SRP14,NA/N,NA/N,NA/N,NA/N
YLPM1,NA/N,NA/N,NA/N,NA/N
RTRAF,NA/N,NA/N,NA/N,NA/N
WBP11,NA/N,NA/N,NA/N,NA/N
PRRC2A,NA/N,NA/N,NA/N,NA/N
MRTO4,NA/N,NA/N,NA/N,NA/N
PABPN1,NA/N,NA/N,NA/N,NA/N
TAF15,NA/N,NA/N,NA/N,NA/N
SRRT,NA/N,NA/N,NA/N,NA/N
YTHDF2,NA/N,NA/N,NA/N,NA/N
RTCB,NA/N,NA/N,NA/N,NA/N
H1FX,NA/N,NA/N,NA/N,NA/N
EEA1,NA/N,NA/N,NA/N,NA/N
HP1BP3,NA/N,NA/N,NA/N,NA/N
SNW1,NA/N,NA/N,NA/N,NA/N
NCBP2,NA/N,NA/N,NA/N,NA/N
FXR2,NA/N,NA/N,NA/N,NA/N
UBAP2L,NA/N,NA/N,NA/N,NA/N
PTBP3,NA/N,NA/N,NA/N,NA/N
CIRBP,NA/N,NA/N,NA/N,NA/N
EIF4A3,NA/N,NA/N,NA/N,NA/N
RRP12,NA/N,NA/N,NA/N,NA/N
NOL6,NA/N,NA/N,NA/N,NA/N
TARDBP,NA/N,NA/N,NA/N,NA/N
SYNE1,NA/N,NA/N,NA/N,NA/N
PUM2,NA/N,NA/N,NA/N,NA/N
ERH,NA/N,NA/N,NA/N,NA/N
HIST1H1A,NA/N,NA/N,NA/N,NA/N
RPS3,NA/N,NA/N,NA/N,NA/N
BMP1,NA/N,NA/N,NA/N,NA/N
COL5A1,NA/N,NA/N,NA/N,NA/N
CHRD,NA/N,NA/N,NA/N,NA/N
CSTF3,NA/N,NA/N,NA/N,NA/N
KDELC2,NA/N,NA/N,NA/N,NA/N
KIF5A,NA/N,NA/N,NA/N,NA/N
TLL1,NA/N,NA/N,NA/N,NA/N
TLL2,NA/N,NA/N,NA/N,NA/N
RMND5B,NA/N,NA/N,NA/N,NA/N
SMC2,NA/N,NA/N,NA/N,NA/N
KDELC1,NA/N,NA/N,NA/N,NA/N
GID4,NA/N,NA/N,NA/N,NA/N
KIF2C,NA/N,NA/N,NA/N,NA/N
WDR26,NA/N,NA/N,NA/N,NA/N
RANBP10,NA/N,NA/N,NA/N,NA/N
ZMYND19,NA/N,NA/N,NA/N,NA/N
BMP15,NA/N,NA/N,NA/N,NA/N
BMP2,NA/N,NA/N,NA/N,NA/N
HJV,NA/N,NA/N,NA/N,NA/N
TNFAIP6,NA/N,NA/N,NA/N,NA/N
RGMA,NA/N,NA/N,NA/N,NA/N
BMP4,NA/N,NA/N,NA/N,NA/N
PDP1,NA/N,NA/N,NA/N,NA/N
BMP5,NA/N,NA/N,NA/N,NA/N
VWA8,NA/N,NA/N,NA/N,NA/N
BMP6,NA/N,NA/N,NA/N,NA/N
BMP7,NA/N,NA/N,NA/N,NA/N
BTBD1,NA/N,NA/N,NA/N,NA/N
BMPR2,NA/N,NA/N,NA/N,NA/N
GDF5,NA/N,NA/N,NA/N,NA/N
BMPR1B,NA/N,NA/N,NA/N,NA/N
SMAD6,NA/N,NA/N,NA/N,NA/N
BMS1,NA/N,NA/N,NA/N,NA/N
RRS1,NA/N,NA/N,NA/N,NA/N
BMT2,NA/N,NA/N,NA/N,NA/N
NPRL3,NA/N,NA/N,NA/N,NA/N
KPTN,NA/N,NA/N,NA/N,NA/N
DEPDC5,NA/N,NA/N,NA/N,NA/N
TSR3,NA/N,NA/N,NA/N,NA/N
C12orf66,NA/N,NA/N,NA/N,NA/N
ITFG2,NA/N,NA/N,NA/N,NA/N
SHMT1,NA/N,NA/N,NA/N,NA/N
NPRL2,NA/N,NA/N,NA/N,NA/N
OGA,NA/N,NA/N,NA/N,NA/N
SZT2,NA/N,NA/N,NA/N,NA/N
BMX,NA/N,NA/N,NA/N,NA/N
RUFY1,NA/N,NA/N,NA/N,NA/N
RUFY2,NA/N,NA/N,NA/N,NA/N
CC2D1B,NA/N,NA/N,NA/N,NA/N
USP24,NA/N,NA/N,NA/N,NA/N
COPS8,NA/N,NA/N,NA/N,NA/N
STX18,NA/N,NA/N,NA/N,NA/N
NAPA,NA/N,NA/N,NA/N,NA/N
BNIP2,NA/N,NA/N,NA/N,NA/N
BNIP3,NA/N,NA/N,NA/N,NA/N
CD47,NA/N,NA/N,NA/N,NA/N
MAP1LC3A,NA/N,NA/N,NA/N,NA/N
BNIPL,NA/N,NA/N,NA/N,NA/N
MIF,NA/N,NA/N,NA/N,NA/N
BOC,NA/N,NA/N,NA/N,NA/N
KLHL24,NA/N,NA/N,NA/N,NA/N
DHH,NA/N,NA/N,NA/N,NA/N
IHH,NA/N,NA/N,NA/N,NA/N
BOD1,NA/N,NA/N,NA/N,NA/N
MSL3,NA/N,NA/N,NA/N,NA/N
BOD1L2,NA/N,NA/N,NA/N,NA/N
BOD1L1,NA/N,NA/N,NA/N,NA/N
SETD1A,NA/N,NA/N,NA/N,NA/N
CXXC1,NA/N,NA/N,NA/N,NA/N
BOLA1,NA/N,NA/N,NA/N,NA/N
PLSCR1,NA/N,NA/N,NA/N,NA/N
BOLA2,NA/N,NA/N,NA/N,NA/N
GLRX3,NA/N,NA/N,NA/N,NA/N
BOLA3,NA/N,NA/N,NA/N,NA/N
BOLL,NA/N,NA/N,NA/N,NA/N
CDC20B,NA/N,NA/N,NA/N,NA/N
UBA5,NA/N,NA/N,NA/N,NA/N
WDR12,NA/N,NA/N,NA/N,NA/N
BORCS6,NA/N,NA/N,NA/N,NA/N
LAMTOR2,NA/N,NA/N,NA/N,NA/N
CCDC22,NA/N,NA/N,NA/N,NA/N
CDK5RAP2,NA/N,NA/N,NA/N,NA/N
ODF2L,NA/N,NA/N,NA/N,NA/N
TRIM37,NA/N,NA/N,NA/N,NA/N
FBXO44,NA/N,NA/N,NA/N,NA/N
HSBP1,NA/N,NA/N,NA/N,NA/N
KIF11,NA/N,NA/N,NA/N,NA/N
BORCS8,NA/N,NA/N,NA/N,NA/N
PIBF1,NA/N,NA/N,NA/N,NA/N
BORCS7,NA/N,NA/N,NA/N,NA/N
CEP250,NA/N,NA/N,NA/N,NA/N
CEP55,NA/N,NA/N,NA/N,NA/N
KXD1,NA/N,NA/N,NA/N,NA/N
FYCO1,NA/N,NA/N,NA/N,NA/N
CEP135,NA/N,NA/N,NA/N,NA/N
KNSTRN,NA/N,NA/N,NA/N,NA/N
CCDC57,NA/N,NA/N,NA/N,NA/N
LAMTOR3,NA/N,NA/N,NA/N,NA/N
CCDC122,NA/N,NA/N,NA/N,NA/N
SPATS2,NA/N,NA/N,NA/N,NA/N
NDEL1,NA/N,NA/N,NA/N,NA/N
CCHCR1,NA/N,NA/N,NA/N,NA/N
VPS51,NA/N,NA/N,NA/N,NA/N
TEX11,NA/N,NA/N,NA/N,NA/N
BORCS8-MEF2B,NA/N,NA/N,NA/N,NA/N
MEF2D,NA/N,NA/N,NA/N,NA/N
MEF2A,NA/N,NA/N,NA/N,NA/N
MEF2C,NA/N,NA/N,NA/N,NA/N
BPGM,NA/N,NA/N,NA/N,NA/N
KLF16,NA/N,NA/N,NA/N,NA/N
NRBP1,NA/N,NA/N,NA/N,NA/N
BPHL,NA/N,NA/N,NA/N,NA/N
SETD3,NA/N,NA/N,NA/N,NA/N
PPP5C,NA/N,NA/N,NA/N,NA/N
BPIFB1,NA/N,NA/N,NA/N,NA/N
TRADD,NA/N,NA/N,NA/N,NA/N
CHDH,NA/N,NA/N,NA/N,NA/N
WDR60,NA/N,NA/N,NA/N,NA/N
SDR39U1,NA/N,NA/N,NA/N,NA/N
REXO5,NA/N,NA/N,NA/N,NA/N
VARS2,NA/N,NA/N,NA/N,NA/N
GTPBP10,NA/N,NA/N,NA/N,NA/N
PTPMT1,NA/N,NA/N,NA/N,NA/N
GFM2,NA/N,NA/N,NA/N,NA/N
NUDT19,NA/N,NA/N,NA/N,NA/N
MOCS1,NA/N,NA/N,NA/N,NA/N
BPTF,NA/N,NA/N,NA/N,NA/N
MAZ,NA/N,NA/N,NA/N,NA/N
HMGXB4,NA/N,NA/N,NA/N,NA/N
MAP2K2,NA/N,NA/N,NA/N,NA/N
RAP1A,NA/N,NA/N,NA/N,NA/N
DELE1,NA/N,NA/N,NA/N,NA/N
DNAJB11,NA/N,NA/N,NA/N,NA/N
ARMCX3,NA/N,NA/N,NA/N,NA/N
BRAP,NA/N,NA/N,NA/N,NA/N
KSR1,NA/N,NA/N,NA/N,NA/N
HMG20A,NA/N,NA/N,NA/N,NA/N
USP48,NA/N,NA/N,NA/N,NA/N
CLSPN,NA/N,NA/N,NA/N,NA/N
RFC1,NA/N,NA/N,NA/N,NA/N
MAP3K3,NA/N,NA/N,NA/N,NA/N
MNAT1,NA/N,NA/N,NA/N,NA/N
NUFIP1,NA/N,NA/N,NA/N,NA/N
PSAP,NA/N,NA/N,NA/N,NA/N
CCNA1,NA/N,NA/N,NA/N,NA/N
NCOA3,NA/N,NA/N,NA/N,NA/N
NUP153,NA/N,NA/N,NA/N,NA/N
ELK4,NA/N,NA/N,NA/N,NA/N
RBL1,NA/N,NA/N,NA/N,NA/N
RBL2,NA/N,NA/N,NA/N,NA/N
CDK16,NA/N,NA/N,NA/N,NA/N
UBE2E2,NA/N,NA/N,NA/N,NA/N
UBE2E3,NA/N,NA/N,NA/N,NA/N
UBE2K,NA/N,NA/N,NA/N,NA/N
UBE2W,NA/N,NA/N,NA/N,NA/N
PGR,NA/N,NA/N,NA/N,NA/N
HNRNPA2B1,NA/N,NA/N,NA/N,NA/N
EIF4G1,NA/N,NA/N,NA/N,NA/N
EIF3B,NA/N,NA/N,NA/N,NA/N
EIF5B,NA/N,NA/N,NA/N,NA/N
RECQL5,NA/N,NA/N,NA/N,NA/N
OLA1,NA/N,NA/N,NA/N,NA/N
RNF169,NA/N,NA/N,NA/N,NA/N
PMS2,NA/N,NA/N,NA/N,NA/N
FOSL2,NA/N,NA/N,NA/N,NA/N
CENPF,NA/N,NA/N,NA/N,NA/N
KIFC1,NA/N,NA/N,NA/N,NA/N
KIF20B,NA/N,NA/N,NA/N,NA/N
KHSRP,NA/N,NA/N,NA/N,NA/N
ETAA1,NA/N,NA/N,NA/N,NA/N
TINF2,NA/N,NA/N,NA/N,NA/N
PIN1,NA/N,NA/N,NA/N,NA/N
DMC1,NA/N,NA/N,NA/N,NA/N
XRCC3,NA/N,NA/N,NA/N,NA/N
DDOST,NA/N,NA/N,NA/N,NA/N
E2F5,NA/N,NA/N,NA/N,NA/N
CAND1,NA/N,NA/N,NA/N,NA/N
EXOC8,NA/N,NA/N,NA/N,NA/N
BRD1,NA/N,NA/N,NA/N,NA/N
MEAF6,NA/N,NA/N,NA/N,NA/N
