Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
PTGES2,NA/N,NA/N,NA/N,NA/N
NUDCD1,NA/N,NA/N,NA/N,NA/N
GNL1,NA/N,NA/N,NA/N,NA/N
AHCYL2,NA/N,NA/N,NA/N,NA/N
AHCYL1,NA/N,NA/N,NA/N,NA/N
ABCG2,NA/N,NA/N,NA/N,NA/N
ABCG4,NA/N,NA/N,NA/N,NA/N
ABCG1,NA/N,NA/N,NA/N,NA/N
ABCG8,NA/N,NA/N,NA/N,NA/N
ABCG5,NA/N,NA/N,NA/N,NA/N
TSPAN3,NA/N,NA/N,NA/N,NA/N
CD320,NA/N,NA/N,NA/N,NA/N
NOTCH3,NA/N,NA/N,NA/N,NA/N
PTPRD,NA/N,NA/N,NA/N,NA/N
ABHD12,NA/N,NA/N,NA/N,NA/N
DPP9,NA/N,NA/N,NA/N,NA/N
ABHD12B,NA/N,NA/N,NA/N,NA/N
CD58,NA/N,NA/N,NA/N,NA/N
ABHD15,NA/N,NA/N,NA/N,NA/N
DNAJB4,NA/N,NA/N,NA/N,NA/N
HSPA8,NA/N,NA/N,NA/N,NA/N
HSPA2,NA/N,NA/N,NA/N,NA/N
STUB1,NA/N,NA/N,NA/N,NA/N
STIP1,NA/N,NA/N,NA/N,NA/N
BAG5,NA/N,NA/N,NA/N,NA/N
ABHD17A,NA/N,NA/N,NA/N,NA/N
TCTEX1D2,NA/N,NA/N,NA/N,NA/N
VPS28,NA/N,NA/N,NA/N,NA/N
ABHD18,NA/N,NA/N,NA/N,NA/N
SELENOO,NA/N,NA/N,NA/N,NA/N
TOR1AIP2,NA/N,NA/N,NA/N,NA/N
LAMP2,NA/N,NA/N,NA/N,NA/N
HSPD1,NA/N,NA/N,NA/N,NA/N
MGAT5B,NA/N,NA/N,NA/N,NA/N
ABHD5,NA/N,NA/N,NA/N,NA/N
PLIN1,NA/N,NA/N,NA/N,NA/N
PNPLA2,NA/N,NA/N,NA/N,NA/N
TMEM38B,NA/N,NA/N,NA/N,NA/N
SKAP2,NA/N,NA/N,NA/N,NA/N
ZPR1,NA/N,NA/N,NA/N,NA/N
TRIM59,NA/N,NA/N,NA/N,NA/N
SARAF,NA/N,NA/N,NA/N,NA/N
NRAS,NA/N,NA/N,NA/N,NA/N
ABI1,NA/N,NA/N,NA/N,NA/N
SOS1,NA/N,NA/N,NA/N,NA/N
NCF1,NA/N,NA/N,NA/N,NA/N
EPS8,NA/N,NA/N,NA/N,NA/N
NCK1,NA/N,NA/N,NA/N,NA/N
CYFIP1,NA/N,NA/N,NA/N,NA/N
CBL,NA/N,NA/N,NA/N,NA/N
LCK,NA/N,NA/N,NA/N,NA/N
LYN,NA/N,NA/N,NA/N,NA/N
HNRNPK,NA/N,NA/N,NA/N,NA/N
HOMER3,NA/N,NA/N,NA/N,NA/N
BRK1,NA/N,NA/N,NA/N,NA/N
KIAA1522,NA/N,NA/N,NA/N,NA/N
NHSL1,NA/N,NA/N,NA/N,NA/N
ABI2,NA/N,NA/N,NA/N,NA/N
ABL1,NA/N,NA/N,NA/N,NA/N
SH3KBP1,NA/N,NA/N,NA/N,NA/N
TRIM32,NA/N,NA/N,NA/N,NA/N
TRAF3IP1,NA/N,NA/N,NA/N,NA/N
PCDH10,NA/N,NA/N,NA/N,NA/N
NCKAP1,NA/N,NA/N,NA/N,NA/N
WASL,NA/N,NA/N,NA/N,NA/N
CEP44,NA/N,NA/N,NA/N,NA/N
GRN,NA/N,NA/N,NA/N,NA/N
CASKIN2,NA/N,NA/N,NA/N,NA/N
NCKAP1L,NA/N,NA/N,NA/N,NA/N
RGPD6,NA/N,NA/N,NA/N,NA/N
ABL2,NA/N,NA/N,NA/N,NA/N
TNIP1,NA/N,NA/N,NA/N,NA/N
OBSL1,NA/N,NA/N,NA/N,NA/N
EXOC7,NA/N,NA/N,NA/N,NA/N
CYFIP2,NA/N,NA/N,NA/N,NA/N
RAPH1,NA/N,NA/N,NA/N,NA/N
WASF3,NA/N,NA/N,NA/N,NA/N
UBR3,NA/N,NA/N,NA/N,NA/N
EPS8L1,NA/N,NA/N,NA/N,NA/N
ABITRAM,NA/N,NA/N,NA/N,NA/N
TAOK2,NA/N,NA/N,NA/N,NA/N
ZHX2,NA/N,NA/N,NA/N,NA/N
TAOK1,NA/N,NA/N,NA/N,NA/N
JUN,NA/N,NA/N,NA/N,NA/N
PTPN6,NA/N,NA/N,NA/N,NA/N
RAD51,NA/N,NA/N,NA/N,NA/N
GRB2,NA/N,NA/N,NA/N,NA/N
MAP4K1,NA/N,NA/N,NA/N,NA/N
TP73,NA/N,NA/N,NA/N,NA/N
RAD9A,NA/N,NA/N,NA/N,NA/N
PSTPIP1,NA/N,NA/N,NA/N,NA/N
GPX1,NA/N,NA/N,NA/N,NA/N
PIK3R1,NA/N,NA/N,NA/N,NA/N
PLCG1,NA/N,NA/N,NA/N,NA/N
YWHAZ,NA/N,NA/N,NA/N,NA/N
YWHAE,NA/N,NA/N,NA/N,NA/N
YWHAH,NA/N,NA/N,NA/N,NA/N
YWHAB,NA/N,NA/N,NA/N,NA/N
YWHAG,NA/N,NA/N,NA/N,NA/N
SFN,NA/N,NA/N,NA/N,NA/N
YWHAQ,NA/N,NA/N,NA/N,NA/N
HCK,NA/N,NA/N,NA/N,NA/N
JAK1,NA/N,NA/N,NA/N,NA/N
BCR,NA/N,NA/N,NA/N,NA/N
CRK,NA/N,NA/N,NA/N,NA/N
MDM2,NA/N,NA/N,NA/N,NA/N
CAT,NA/N,NA/N,NA/N,NA/N
SPTA1,NA/N,NA/N,NA/N,NA/N
SPTAN1,NA/N,NA/N,NA/N,NA/N
RYBP,NA/N,NA/N,NA/N,NA/N
EPS15,NA/N,NA/N,NA/N,NA/N
EGFR,NA/N,NA/N,NA/N,NA/N
ERBB2,NA/N,NA/N,NA/N,NA/N
ERBB3,NA/N,NA/N,NA/N,NA/N
CTNNB1,NA/N,NA/N,NA/N,NA/N
ERBB4,NA/N,NA/N,NA/N,NA/N
CDON,NA/N,NA/N,NA/N,NA/N
PSMA7,NA/N,NA/N,NA/N,NA/N
STAT5B,NA/N,NA/N,NA/N,NA/N
SNCA,NA/N,NA/N,NA/N,NA/N
ERCC6,NA/N,NA/N,NA/N,NA/N
HRAS,NA/N,NA/N,NA/N,NA/N
TRIP10,NA/N,NA/N,NA/N,NA/N
ABLIM1,NA/N,NA/N,NA/N,NA/N
ACTB,NA/N,NA/N,NA/N,NA/N
SEPSECS,NA/N,NA/N,NA/N,NA/N
NMT1,NA/N,NA/N,NA/N,NA/N
ABLIM3,NA/N,NA/N,NA/N,NA/N
BRCA1,NA/N,NA/N,NA/N,NA/N
